Historical_DX_ID,Historical_PX_ID,Episode_Type,Age_Group,Gender,Source_Code,Currency_Code,Patient_Count,Total_Bill_Amount
-2582871044484509859,69275896939527291,IP,49-64,F,KPJ,RM,15,160825.19999999998
-4297334731691023433,-3085373731158004225,OP," 6-13",F,KPJ,RM,15,15138.800000000001
-4297334731691023433,-8383966308998902685,IP,14-18,M,KPJ,RM,15,125304.55
-4297334731691023433,-8383966308998902685,IP,34-48,M,KPJ,RM,15,130934.50000000001
-4297334731691023433,3257572218407810539,OP,49-64,F,KPJ,RM,15,60039.65
-4297334731691023433,2747006091829731993,OP,49-64,F,KPJ,RM,14,6531.65
-4297334731691023433,2747006091829731993,OP,14-18,M,KPJ,RM,14,6339.799999999999
-4297334731691023433,3909308648118648264,IP," 6-13",M,KPJ,RM,14,43456.549999999996
-4297334731691023433,5053715707469957507,OP,19-33,F,KPJ,RM,14,24603.5
-4297334731691023433,-8383966308998902685,IP,49-64,F,KPJ,RM,14,123474.79999999999
-4297334731691023433,69275896939527291,OP,14-18,F,KPJ,RM,14,15595.4
-4297334731691023433,6601097132759056815,OP,34-48,F,KPJ,RM,14,20109.1
-4879096931856976713,6601097132759056815,IP,34-48,M,KPJ,RM,14,99630.25
-8019000010899910018,-3800066422014271228,IP,49-64,M,KPJ,RM,14,390331.35
34951405332111201,69275896939527291,IP,34-48,M,KPJ,RM,14,88785.3
59570747549699195,-1233489077635294285,IP,65-78,F,KPJ,RM,14,356853.65
59570747549699195,-1233489077635294285,IP,79-98,F,KPJ,RM,13,477345.65
4444044698744369319,69275896939527291,IP,49-64,F,KPJ,RM,13,106550.40000000001
526030796439060595,-1640521644483910203,IP,49-64,M,KPJ,RM,13,160061.59999999998
6963531762191349518,5053715707469957507,IP,65-78,M,KPJ,RM,13,171125.65
34951405332111201,289399045947638083,IP,19-33,M,KPJ,RM,13,508802.4999999999
2622814373144770076,1755838254210306008,IP,19-33,M,KPJ,RM,13,66438.1
-8612547061528973037,5053715707469957507,IP,34-48,M,KPJ,RM,13,127342.09999999998
-4297334731691023433,69275896939527291,OP,79-98,F,KPJ,RM,13,37360.99
-5702215334154323660,-6223574254305835888,IP,49-64,F,KPJ,RM,13,376293.2
-4297334731691023433,2454985304141717577,IP," 6-13",M,KPJ,RM,13,181259.94999999998
-4297334731691023433,1599096468689997913,IP,19-33,M,KPJ,RM,13,180936
-4297334731691023433,2747006091829731993,OP," 6-13",M,KPJ,RM,13,8602.75
-4297334731691023433,3257572218407810539,OP,49-64,M,KPJ,RM,13,80249.5
-2582871044484509859,5053715707469957507,IP,49-64,M,KPJ,RM,13,305445.5
-1434428718637060698,5053715707469957507,IP,34-48,M,KPJ,RM,13,89886.74999999999
-2582871044484509859,69275896939527291,IP,34-48,M,KPJ,RM,13,140962.5
-1434428718637060698,5053715707469957507,IP,49-64,M,KPJ,RM,12,79335.7
-4297334731691023433,-8383966308998902685,IP," 6-13",F,KPJ,RM,12,100977.29999999999
-4297334731691023433,-3085373731158004225,OP,49-64,F,KPJ,RM,12,13383.55
-3683773791594618461,-5576741191788985122,DP,19-33,F,KPJ,RM,12,66464.75
-3950875129380708249,4074833484965539161,IP,34-48,M,KPJ,RM,12,139394.9
-3950875129380708249,4074833484965539161,IP,19-33,M,KPJ,RM,12,115013.15000000001
-5702215334154323660,69275896939527291,IP,49-64,M,KPJ,RM,12,112305.75
2507542082078810448,2454985304141717577,IP,34-48,M,KPJ,RM,12,245419.00000000003
34951405332111201,-955464046545576208,IP,19-33,M,KPJ,RM,12,291489.55
4444044698744369319,-3800066422014271228,IP,65-78,M,KPJ,RM,12,313505.55
6963531762191349518,5053715707469957507,IP,65-78,F,KPJ,RM,12,134102.85
6297088545629101953,5053715707469957507,IP,34-48,F,KPJ,RM,12,87308.25
526030796439060595,-1640521644483910203,IP,49-64,F,KPJ,RM,12,178275.4
59570747549699195,-1348179578552615098,IP,79-98,F,KPJ,RM,12,295322.2
8147826682358411235,2454985304141717577,IP,34-48,M,KPJ,RM,12,266328.64999999997
8147826682358411235,2454985304141717577,IP,19-33,M,KPJ,RM,11,232176.6
7660833365840418090,6601097132759056815,DP,49-64,F,KPJ,RM,11,27043.65
6963531762191349518,7186706925186985937,IP,65-78,F,KPJ,RM,11,475365.5
2622814373144770076,-1348179578552615098,IP,79-98,F,KPJ,RM,11,273384.85000000003
-5890664549861833953,-3085373731158004225,IP,34-48,M,KPJ,RM,11,69052.4
-5702215334154323660,69275896939527291,DP,34-48,M,KPJ,RM,11,69103.5
-5702215334154323660,69275896939527291,DP,65-78,F,KPJ,RM,11,70392.7
-4471458292927807570,6601097132759056815,IP,49-64,F,KPJ,RM,11,78156.05
-4879096931856976713,6601097132759056815,DP,34-48,F,KPJ,RM,11,51383.59999999999
-4580610997579205005,2454985304141717577,IP,49-64,M,KPJ,RM,11,196025.9
-4564286579192819087,2454985304141717577,IP,34-48,M,KPJ,RM,11,295562.75000000006
-8612547061528973037,5053715707469957507,IP,19-33,F,KPJ,RM,11,96757.35
-4297334731691023433,-3085373731158004225,IP,34-48,M,KPJ,RM,11,57430.74999999999
-4297334731691023433,1755838254210306008,OP,49-64,F,KPJ,RM,11,8551.6
-4297334731691023433,2747006091829731993,OP,34-48,F,KPJ,RM,11,4981.400000000001
-4297334731691023433,2747006091829731993,OP,19-33,F,KPJ,RM,11,6256
-4297334731691023433,3909308648118648264,OP,34-48,F,KPJ,RM,11,4950.599999999999
-4297334731691023433,5053715707469957507,OP,65-78,M,KPJ,RM,11,22602
-1434428718637060698,5053715707469957507,IP,34-48,F,KPJ,RM,11,83362.25
-2582871044484509859,69275896939527291,IP,34-48,F,KPJ,RM,11,132823.09999999998
-2582871044484509859,69275896939527291,IP,49-64,M,KPJ,RM,11,123398.80000000002
-2942052673099793901,-7276370163767546548,IP,34-48,M,KPJ,RM,11,428397.1
-2942052673099793901,9172699623480912390,IP,49-64,F,KPJ,RM,11,234487.2
-4297334731691023433,5053715707469957507,IP,19-33,F,KPJ,RM,10,119317.90000000001
-4297334731691023433,4074833484965539161,IP," 6-13",F,KPJ,RM,10,66086.94999999998
-4297334731691023433,3909308648118648264,IP,19-33,M,KPJ,RM,10,37021.3
-4297334731691023433,3747070812719443854,OP,65-78,F,KPJ,RM,10,14270.25
-4297334731691023433,2747006091829731993,OP," 6-13",F,KPJ,RM,10,3653.1000000000004
-4297334731691023433,1755838254210306008,OP,19-33,M,KPJ,RM,10,12197.499999999998
-4297334731691023433,1355960220887288364,IP,49-64,M,KPJ,RM,10,276419.25
-4297334731691023433,-3085373731158004225,OP,14-18,M,KPJ,RM,10,10159.449999999999
-4297334731691023433,-3085373731158004225,IP,19-33,M,KPJ,RM,10,60210.79999999999
-3683773791594618461,-5576741191788985122,DP,34-48,F,KPJ,RM,10,55218.6
1075705468149194355,2454985304141717577,IP,34-48,M,KPJ,RM,10,199287
