atom_id,source_code
A29928980,11102
A17110937,77338
A19994812,21280
A19994328,63286
A34767373,63052
A21031733,86833
A21034361,55801
A18512007,00548
A34771647,69717
A23574156,1021523
A18513584,86480
A32354157,81401
A4852734,61026
A23573261,1013511
A11000809,4045F
A25756777,81435
A31179709,95723
A32359345,17003
A32362858,81405
A15887265,23460
A32351047,33322
A21035553,87536
A21031994,97598
A34771718,0270U
A34773350,93598
A1747066,20979
A32361443,15005
A32358114,63303
A32363032,87541
A32352320,90636
A0681280,17340
A2059663,44160
A23577724,20938
A34770747,0698T
A32361586,19085
A32355272,28041
A32363296,95180
A15885031,21026
A21034414,58600
A23575643,1009276
A19991945,50060
A28577712,34702
A32366839,74178
A32354332,87070
A19994493,85576
A18512751,27067
A24211654,58548
A23569943,1005131
A4852594,57268
A23577838,27066
A19994669,15278
A34772453,29105
A34772042,51860
A21049037,49084
A28578379,1031065
A29928649,81284
A27405917,36902
A4710391,47620
A0782215,21154
A4850416,29846
A24207411,54050
A21055318,0266T
A21056342,48100
A34771690,87154
A28578711,0483T
A17111260,37760
A32361033,93287
A32358390,80363
A8584121,26390
A0772027,84081
A18513203,85597
A34775458,87154
A21044479,15940
A28577798,81362
A32365548,0626T
A32359730,34001
A32353966,75958
A21045531,57400
A21033777,30520
A27406055,EY
A34774950,90867
A34774411,92552
A34770190,93597
A32357952,57065
A32364698,74430
A32364784,78481
A15885952,24500
A21036604,86753
A34771220,92944
A32361282,1036528
A21046836,00754
A4853249,72190
A4853275,70260
A4860604,33020
A21032421,41800
A28577869,00731
A23577110,81226
A34772421,27306
A32354820,01782
A29929028,81237
A32357234,17286
A4855325,26565
A4917359,83582
A24208534,78227
A23576298,45113
A21040930,25420
A34774280,64896
A32362877,81405
A4859809,25500
A4864409,54660
A21037476,31225
A0777649,27745
A4857036,41007
A21048735,33916
A2060424,60271
A21046070,82108
A21052780,49557
A29929015,1035178
A32358386,80321
A32352104,85555
A23575679,1011869
A21040931,25425
A0697860,57556
A0675015,21337
A4859675,28406
A18514215,66175
A23574744,1004766
A19995889,67255
A21045195,43130
A29928971,X2
A21056604,61305
A24209139,61886
A23568978,61616
A15886180,4155F
A23578844,1004206
